Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoFlood,TBox,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoFlood,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoFlood,TBox,"The Flood Risk Monitoring ontology (OntoFlood) is an ontology developed for representing flood events as well as flood warnings, together with the risk and (potential) impacts imposed by those events.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoFlood,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
http://sweetontology.net/phen/Event,Class,,,,,,,http://sweetontology.net/phen,Event
http://purl.obolibrary.org/obo/ENVO_01000710,Class,,,,,,,http://purl.obolibrary.org/obo/envo.owl,Flood
http://purl.obolibrary.org/obo/ENVO_01000710,Class,http://sweetontology.net/phen/Event,IS-A,,,,,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Flood
http://purl.obolibrary.org/obo/ENVO_01000711,Class,http://purl.obolibrary.org/obo/ENVO_01000710,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Coastal flood
http://purl.obolibrary.org/obo/ENVO_01000711,Class,,,,,,,http://purl.obolibrary.org/obo/envo.owl,Tidal flood
http://purl.obolibrary.org/obo/ENVO_01000712,Class,http://purl.obolibrary.org/obo/ENVO_01000710,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Riverine flood
http://purl.obolibrary.org/obo/ENVO_01000712,Class,,,,,,,http://purl.obolibrary.org/obo/envo.owl,Fluvial flood
http://purl.obolibrary.org/obo/ENVO_01000713,Class,http://purl.obolibrary.org/obo/ENVO_01000710,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Flash flood
http://purl.obolibrary.org/obo/RO_0002354,Object Property,,,http://purl.obolibrary.org/obo/ENVO_01000710,http://purl.obolibrary.org/obo/ENVO_02500002,,,http://purl.obolibrary.org/obo/envo.owl,formed as result of
http://purl.obolibrary.org/obo/ENVO_02500002,Class,,,,,,,http://purl.obolibrary.org/obo/envo.owl,Flooding
http://purl.obolibrary.org/obo/ENVO_01000707,Class,http://purl.obolibrary.org/obo/ENVO_02500002,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Coastal flooding
http://purl.obolibrary.org/obo/ENVO_01000708,Class,http://purl.obolibrary.org/obo/ENVO_02500002,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Riverine flooding
http://purl.obolibrary.org/obo/ENVO_01000709,Class,http://purl.obolibrary.org/obo/ENVO_02500002,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Flash flooding
http://purl.obolibrary.org/obo/ENVO_01000717,Class,http://purl.obolibrary.org/obo/ENVO_02500002,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Aerial flooding
http://purl.obolibrary.org/obo/ENVO_01000718,Class,http://purl.obolibrary.org/obo/ENVO_02500002,IS-A,,,,,http://purl.obolibrary.org/obo/envo.owl,Urban flooding
http://purl.obolibrary.org/obo/ENVO_01000710,Class,http://sweetontology.net/phenHydro/Flood,EQUIVALENT-TO,,,,,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Flood
hasIntensity,Object Property,,,http://purl.obolibrary.org/obo/ENVO_01000710,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,,"A relationship between a Flood and associated quantities describing its intensity (e.g. water depth, flow velocity).",http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has intensity
http://www.ontology-of-units-of-measure.org/resource/om-2/hasValue,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
http://www.ontology-of-units-of-measure.org/resource/om-2/hasUnit,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
http://www.ontology-of-units-of-measure.org/resource/om-2/symbol,Data Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,string,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,
WaterVelocity,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Velocity,IS-A,,,,Flow velocity of the water forming a flood.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Water velocity
FloodDepth,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Depth,IS-A,,,,Relative height above ground of the water forming a flood.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Flood depth
ArealDistribution,Class,,,,,,The geospatial distribution of a physical quantity over an area.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Areal distribution
hasGeospatialDistribution,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,ArealDistribution,exactly 1,A relationship between a quantity and its geospatial field distribution.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has geospatial distribution
EnvironmentalComponent,Class,,,,,,"Natural components of the environment (e.g. biodiversity, natural habitats, animal species, etc.).",http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Environmental component
Population,Class,,,,,,People who inhabit a territory or state.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Population
InfrastructureComponent,Class,,,,,,Manmade basic structures or features needed for the functioning of a system or organization.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Infrastructure component
affects,Object Property,,,http://purl.obolibrary.org/obo/ENVO_01000710,EnvironmentalComponent UNION Population UNION InfrastructureComponent,,A relationship between a Flood and affected entities.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,affects
hasTotalCount,Data Property,,,Population UNION InfrastructureComponent,integer,,"The total number of affected entities (e.g. people, particular infrastructure components)",http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has count
hasTotalAffectedArea,Object Property,,,InfrastructureComponent,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,,A relationship between an affected Infrastructure Component and the corresponding total area affected.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has affected area
hasTotalMonetaryValue,Object Property,,,InfrastructureComponent,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,,A relationship between an affected Infrastructure Component and the corresponding financial damage estimate.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has total monetary value
http://www.ontology-of-units-of-measure.org/resource/om-2/hasValue,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Area UNION http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,has value
http://www.ontology-of-units-of-measure.org/resource/om-2/hasNumericalValue,Data Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,float,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,has numerical value
http://www.ontology-of-units-of-measure.org/resource/om-2/hasUnit,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,has unit
http://www.ontology-of-units-of-measure.org/resource/om-2/symbol,Data Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,string,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,symbol
Building,Class,InfrastructureComponent,IS-A,,,,Manmade structures with walls and roof which stand more or less permanently in one place.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Building
Vehicle,Class,InfrastructureComponent,IS-A,,,,Conveyances used to transport people or objects.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Vehicle
NetworkInfrastructure,Class,InfrastructureComponent,IS-A,,,,"Network systems, i.e. installations and facilities spreading across land.",http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Network infrastructure
ArealInfrastructure,Class,InfrastructureComponent,IS-A,,,,Areal installations and land-uses.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Areal infrastructure
MobilityNetwork,Class,NetworkInfrastructure,IS-A,,,,"Network-shaped infrastructure to enable transport of people and goods (e.g. roads, railroads).",http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Mobility network
ProvisioningNetwork,Class,NetworkInfrastructure,IS-A,,,,"Network-shaped infrastructure for provisioning goods (e.g. electricity, gas, water).",http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Provisioning network
ResidentialArea,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of residential buildings.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,ResidentialArea
CommercialArea,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of commercial buildings.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,CommercialArea
IndustrialArea,Class,ArealInfrastructure,IS-A,,,,Material infrastructure in form of industrial buildings.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,IndustrialArea
Impact,Class,,,,,,Consequences of an event taking place.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Impact
resultsIn,Object Property,,,http://sweetontology.net/phen/Event,Impact,,A relationship between an Event and its effects.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,results in
hasMonetaryValue,Object Property,,,Impact,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,exactly 1,A relationship between an Impact and the quantification of its cumulative effects in monetary terms.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has monetary value
hasClassification,Data Property,,,Impact,string,,Textual description (and classification) of an impact beyond quantification.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has classification
hasTimeInterval,Object Property,,,http://sweetontology.net/phen/Event,https://www.w3.org/2006/time#Interval,exactly 1,A relationship between an event and the time interval associated with the duration of the event.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has time interval
https://www.w3.org/2006/time#hasBeginning,Object Property,,,https://www.w3.org/2006/time#Interval,https://www.w3.org/2006/time#Instant,,,https://www.w3.org/2006/time,has beginning
https://www.w3.org/2006/time#hasEnd,Object Property,,,https://www.w3.org/2006/time#Interval,https://www.w3.org/2006/time#Instant,,,https://www.w3.org/2006/time,has end
https://www.w3.org/2006/time#hasXSDDuration,Data Property,,,https://www.w3.org/2006/time#Interval,duration,,,https://www.w3.org/2006/time,has duration
https://www.w3.org/2006/time#inXSDDateTimeStamp,Data Property,,,https://www.w3.org/2006/time#Instant,dateTimeStamp,,,https://www.w3.org/2006/time,has time stamp
Location,Class,,,,,,The location associated with an event.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Location
ArealExtentPolygon,Class,,,,,,Polygon describing the footprint of an event.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Areal extent polygon
AdministrativeDistrict,Class,,,,,,"An area defined for administrative purposes, e.g. a county or postal code district.",http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,Administrative district
hasAdministrativeDistrict,Object Property,,,Location,AdministrativeDistrict,,A relationship between a location and an encompassing administrative district.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has administrative district
hasArealExtent,Object Property,,,Location,ArealExtentPolygon,,Geospatial extent of an event's footprint.,http://www.theworldavatar.com/ontology/ontoflood/OntoFlood.owl,has areal extent
