Case name,DMM3,O2,N2,phi,temperature,unitTemp,pressure,unitPres,ignitionDelay,unitIgni
PODE3_Figure%2D5_case_17,0.009174312,0.110091743,0.880733945,0.5,674.7410681,K,10,bar,39.42615,ms
PODE3_Figure%2D5_case_18,0.009174312,0.110091743,0.880733945,0.5,660.8730133,K,10,bar,47.76691,ms
PODE3_Figure%2D5_case_19,0.009174312,0.110091743,0.880733945,0.5,640.7258142,K,10,bar,70.64493,ms
PODE3_Figure%2D5_case_20,0.010309278,0.06185567,0.927835052,1.0,855.9738414,K,15,bar,3.46063,ms
PODE3_Figure%2D5_case_21,0.010309278,0.06185567,0.927835052,1.0,832.542418,K,15,bar,5.31038,ms
PODE3_Figure%2D5_case_22,0.010309278,0.06185567,0.927835052,1.0,816.5398308,K,15,bar,7.03989,ms
PODE3_Figure%2D5_case_23,0.010309278,0.06185567,0.927835052,1.0,795.8235182,K,15,bar,11.91996,ms
PODE3_Figure%2D5_case_24,0.010309278,0.06185567,0.927835052,1.0,752.8193083,K,15,bar,9.0155,ms
PODE3_Figure%2D5_case_25,0.010309278,0.06185567,0.927835052,1.0,738.4324556,K,15,bar,14.0196,ms
PODE3_Figure%2D5_case_26,0.010309278,0.06185567,0.927835052,1.0,727.4949439,K,15,bar,14.3211,ms
PODE3_Figure%2D5_case_27,0.010309278,0.06185567,0.927835052,1.0,708.8126679,K,15,bar,16.57703,ms
PODE3_Figure%2D5_case_28,0.010309278,0.06185567,0.927835052,1.0,688.6056424,K,15,bar,19.81062,ms
PODE3_Figure%2D5_case_29,0.010309278,0.06185567,0.927835052,1.0,675.4839843,K,15,bar,25.64143,ms
PODE3_Figure%2D5_case_30,0.010309278,0.06185567,0.927835052,1.0,657.56163,K,15,bar,55.92391,ms
PODE3_Figure%2D5_case_31,0.010309278,0.06185567,0.927835052,1.0,856.8319495,K,10,bar,8.23601,ms
PODE3_Figure%2D5_case_32,0.010309278,0.06185567,0.927835052,1.0,827.2530236,K,10,bar,12.94443,ms
PODE3_Figure%2D5_case_33,0.010309278,0.06185567,0.927835052,1.0,812.5523081,K,10,bar,14.82493,ms
PODE3_Figure%2D5_case_34,0.010309278,0.06185567,0.927835052,1.0,786.1079012,K,10,bar,24.63859,ms
PODE3_Figure%2D5_case_35,0.010309278,0.06185567,0.927835052,1.0,762.3985057,K,10,bar,19.96932,ms
PODE3_Figure%2D5_case_36,0.010309278,0.06185567,0.927835052,1.0,739.6176177,K,10,bar,30.4806,ms
PODE3_Figure%2D5_case_37,0.010309278,0.06185567,0.927835052,1.0,732.2949391,K,10,bar,34.08298,ms
PODE3_Figure%2D5_case_38,0.010309278,0.06185567,0.927835052,1.0,707.30862,K,10,bar,36.62057,ms
PODE3_Figure%2D5_case_39,0.010309278,0.06185567,0.927835052,1.0,689.2416274,K,10,bar,41.05766,ms
PODE3_Figure%2D5_case_40,0.010309278,0.06185567,0.927835052,1.0,674.6500253,K,10,bar,53.8535,ms
PODE3_Figure%2D5_case_41,0.011764706,0.047058824,0.941176471,1.5,864.9396705,K,15,bar,4.48098,ms
PODE3_Figure%2D5_case_42,0.011764706,0.047058824,0.941176471,1.5,844.4733442,K,15,bar,5.31193,ms
PODE3_Figure%2D5_case_43,0.011764706,0.047058824,0.941176471,1.5,825.7501941,K,15,bar,6.40053,ms
PODE3_Figure%2D5_case_44,0.011764706,0.047058824,0.941176471,1.5,807.0764463,K,15,bar,7.65849,ms
PODE3_Figure%2D5_case_45,0.011764706,0.047058824,0.941176471,1.5,785.792865,K,15,bar,9.51182,ms
PODE3_Figure%2D5_case_46,0.011764706,0.047058824,0.941176471,1.5,773.3772612,K,15,bar,10.73717,ms
PODE3_Figure%2D5_case_47,0.011764706,0.047058824,0.941176471,1.5,733.4766058,K,15,bar,14.46877,ms
PODE3_Figure%2D5_case_48,0.011764706,0.047058824,0.941176471,1.5,705.9753756,K,15,bar,14.74104,ms
PODE3_Figure%2D5_case_49,0.011764706,0.047058824,0.941176471,1.5,687.559302,K,15,bar,17.11193,ms
PODE3_Figure%2D5_case_50,0.011764706,0.047058824,0.941176471,1.5,666.1692603,K,15,bar,25.25286,ms
PODE3_Figure%2D5_case_51,0.011764706,0.047058824,0.941176471,1.5,650.7959234,K,15,bar,34.42807,ms
PODE3_Figure%2D5_case_52,0.011764706,0.047058824,0.941176471,1.5,855.4393109,K,10,bar,10.8125,ms
PODE3_Figure%2D5_case_53,0.011764706,0.047058824,0.941176471,1.5,835.1079377,K,10,bar,12.37726,ms
PODE3_Figure%2D5_case_54,0.011764706,0.047058824,0.941176471,1.5,816.3065394,K,10,bar,15.84534,ms
PODE3_Figure%2D5_case_55,0.011764706,0.047058824,0.941176471,1.5,797.0350297,K,10,bar,18.5661,ms
PODE3_Figure%2D5_case_56,0.011764706,0.047058824,0.941176471,1.5,775.8313032,K,10,bar,23.00535,ms
PODE3_Figure%2D5_case_57,0.011764706,0.047058824,0.941176471,1.5,757.6446344,K,10,bar,25.01857,ms
PODE3_Figure%2D5_case_58,0.011764706,0.047058824,0.941176471,1.5,731.9894008,K,10,bar,25.01857,ms
PODE3_Figure%2D5_case_59,0.011764706,0.047058824,0.941176471,1.5,705.7561471,K,10,bar,36.32367,ms
PODE3_Figure%2D5_case_60,0.011764706,0.047058824,0.941176471,1.5,685.4244491,K,10,bar,36.92105,ms
PODE3_Figure%2D5_case_61,0.011764706,0.047058824,0.941176471,1.5,665.3271414,K,10,bar,48.94762,ms
PODE3_Figure%2D5_case_62,0.011764706,0.047058824,0.941176471,1.5,648.5799342,K,10,bar,60.93459,ms
